nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Edison David,Gallegos Bayas,EDGallegosBayas,Continuamos entrevistas # DardoElectoral ahora @ EDGallegosBayas candidato @ CPCCS cuenta propuestas . Participa preguntas conectate # FacebookLive https : //t.co/9he8sWdCdR https : //t.co/0JkAvwNR9k,2019-02-28
Edison David,Gallegos Bayas,EDGallegosBayas,"# DardoElectoral | @ EDGallegosBayas propone contratos aprueban SERCOP , pasen filtro quinto poder fin controlar evitar comentan irregularidades . Escucha entrevista completa https : //t.co/nQoF94qFN6",2019-03-01
Edison David,Gallegos Bayas,EDGallegosBayas,"AHORA| # BuenosDiasAmerica acompana @ EDGallegosBayas , candidato @ CPCCS hablar `` Propuesta Campana '' 104.5FM miranos https : //t.co/aRm10ikOck @ Jorgeacato @ RamiroDiaz64 @ longogalo https : //t.co/K1sSIdz3Fg",2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,". @ EDGallegosBayas `` , pediria hagan cumplir ley . Segun Ley @ CPCCS art . 35 manifiesta prohibiciones , : puede promocionar bien mal candidato '' 104.5 FM @ Jorgeacato @ RamiroDiaz64 @ longogalo https : //t.co/wobeYLldjD",2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,. @ EDGallegosBayas analiza responsables fortalecer @ CPCCS . Aqui 104.5 FM https : //t.co/aRm10ikOck @ Jorgeacato @ RamiroDiaz64 @ longogalo @ CPCCS https : //t.co/jJLvgillnR,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,". @ EDGallegosBayas `` @ CPCCS quinto Poder , segun Constitucion . mismo debe ser respaldado respetado todas instituciones '' Aqui 104.5 FM https : //t.co/aRm10ikOck @ Jorgeacato @ RamiroDiaz64 @ longogalo @ CPCCS https : //t.co/PmCSbwbJO2",2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,comparto video CNE promociona candidatura @ SociedadZona # CPCCS # Elecciones2019EC https : //t.co/6GhLoJcWbk,2019-03-08
Edison David,Gallegos Bayas,EDGallegosBayas,Gracias Radio via invitacion permitirme dar conocer ciudadania propuesta https : //t.co/ECKe4LK28k,2019-03-13
Edison David,Gallegos Bayas,EDGallegosBayas,"pueden encontrar casillero 25 , segunda fila # CPCCS # Elecciones2019EC https : //t.co/Ktyt3COLf0",2019-03-19
Edison David,Gallegos Bayas,EDGallegosBayas,"pueden encontrar casillero 25 , segunda fila . # CPCCS # Elecciones2019EC https : //t.co/c2PntpjSGl",2019-03-19
