nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Walter Javier,Gomez Ronquillo,wgomezr,Comparto ustedes Agenda actividades Canar Azuay manana martes 19/02/19 # FelizLunes # FelizSemana # Ecuador # WalterGomezEsCPCCS # WalterGomezEsElPrimero https : //t.co/UKjGnpwd77,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Asi manzanitas ? # CPCCS lograremos mejores dias https : //t.co/KiYbjlxhr3,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,"Entrevista Semanario @ Heraldocanar `` Impulsare conformacion d veedurias ciudadanas q evaluen fiscalicen Transitorio , autoridades financieras caso GEA paren concesiones d empresas publicas '' # FelizMartes # Elecciones2019 # Elecciones2019EC # EleccionesCPCCS https : //t.co/SVIgNe6SU9",2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Entrevista Radio Genesis Azogues prov Canar `` plan trabajo p # CPCCS sido hecho base necesidades ciudadania '' # FelizMartes # Elecciones2019EC # EleccionesCPCCS # WalterGomezEsCPCCS # WalterGomezEsElPrimero # Ecuador https : //t.co/61QBjNJPLc,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Entrevistado x Martha Calle @ OndasCanaris `` evaluacion # CPCCS T sera dado x ciudadania indicaran pasos seguir partir mayo 2019 '' # FelizMartes # Elecciones2019EC # EleccionesCPCCS # WalterGomezEsCPCCS # WalterGomezEsElPrimero https : //t.co/jeXRGDhMYq,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,"Entrevistado x @ mercurioec ciudad Cuenca prov Azuay `` pugnas vocales CNE electos x Trujillo dan seguridad Transparencia comicios 24M , x dignidad deben renunciar '' # FelizMartes # Elecciones2019EC # EleccionesCPCCS # WalterGomezEsCPCCS https : //t.co/Wu0XIu45ev",2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,"Cafe Parque Cuenca prov Azuay , Recomendado lindo lugar # FelizMartes https : //t.co/yIpf5Sq0fS",2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Lideres organizacionales urbanos rurales prov Azuay apoyando candidatura AVANZANDO # FelizMartes # Elecciones2019EC # EleccionesCPCCS # CPCCS # WalterGomezEsCPCCS # WalterGomezEsElPrimero https : //t.co/88vT59PwL2,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,@ kolectiVOZ @ davalos2019 Felicitaciones Juan Xavier,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,@ TEAFundacion @ torresaereo @ alcaldiagye @ CynthiaViteri6 @ JosueSanchezEc gente solo critican quieren amamos animales hagamos trabajo municipios exponemos creen x reditos politicos Asi simplistas mentes,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,@ torresaereo @ TEAFundacion @ alcaldiagye @ CynthiaViteri6 @ JosueSanchezEc Solo x saber haces bienestar animal ? ensenes hacer,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,"@ torresaereo @ TEAFundacion @ alcaldiagye @ CynthiaViteri6 @ JosueSanchezEc Muchas gracias , entonces debido trabajo invitare apoyes todas gestiones impulsar normativas impulsare CPCCS",2019-02-20
