nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Edgar,Jacome,EdgarJacomeT,dia hoy quitenos quejaron horrible trafico tunel Guayasamin plan QuitoVuelveASonar contempla solucion problemas Mira video VotaTodo7,2019-02-18
Edgar,Jacome,EdgarJacomeT,Manana 20 febrero 2019 escuchame Positiva 860AM 08H30 18H15 fmmundo dial 98 1 programa Notimundo Edgar Jacome QuitoVuelveASonar VotaTodo7,2019-02-20
Edgar,Jacome,EdgarJacomeT,Ahora mismo escuchame Positiva 860AM programa Buenos dias Deporte contare historia fanatico futbol ecuatoriano pasion deporte QuitoVuelveaSonar mas apertura deporte VotoQuito2019 VotaTodo7 EleccionesEC2019,2019-02-20
Edgar,Jacome,EdgarJacomeT,QuitoVuelveaSonar vamos dedicar parte presupuesto campanas difusion educacion fin ciudadanos involucren cambio ordenamiento ciudad honestidad basta vamos trabajar conjunto quitenos VotoQuito2019,2019-02-20
Edgar,Jacome,EdgarJacomeT,Ser politico casos causa rechazo ciudadanos oportunidad servir quiteno trabajar arduamente cambiar imagen administracion venida menos QuitoVuelveaSonar Edgar Jacome VotaTodo7 Positiva 860AM,2019-02-20
Edgar,Jacome,EdgarJacomeT,cambio comienza establecimiento EstatutoAutonomicoDMQ podremos crear Guardia Metropolitana cuidar ciudadanos Ademas trabajaremos recuperar cultura costumbres quitenas QuitoVuelveaSonar VotaTodo7 Positiva 860AM,2019-02-20
Edgar,Jacome,EdgarJacomeT,propuestas proyecto QuitoVuelveASonar disenado ordenar movilidad trafico ciudad catastro municipal Apuntaremos desarrollo crecimiento infraestructura redistribuiremos recursos beneficio ciudadano Positiva 860AM,2019-02-20
Edgar,Jacome,EdgarJacomeT,grandes problemas movilidad transporte Quito solucionaran obras publicas reordenamiento transito Semaforizacion inteligente reorganizacion AMT ampliacion red Metro Quito seran prioridad fmmundo notimundoec QuitoVuelveASonar,2019-02-20
Edgar,Jacome,EdgarJacomeT,EdgarJacomeT gran deficit obra publica ciudad RumboalaAlcaldiadeQuito,2019-02-20
Edgar,Jacome,EdgarJacomeT,proyecto QuitoVuelveASonar plan desarrollo propuesta politica Quito necesita administradores recuperar competitividad atraer inversionistas generar trabajo recursos obras publicas tan necesarias fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,propuesta turismo dar mayor visibilidad riqueza parroquias crear gran feria internacional turismo utilizar plataformas difusion atraer turistas mundo QuitoVuelveaSonar VotoQuito2019 VotaTodo7 fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,cuanto seguridad aprovecharemos EstatutoAutonomicoDMQ asumir competencia crear Guardia Metropolitana invertir camaras campanas educacion reducir niveles criminalidad QuitoVuelveaSonar mas seguridad fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,Trabajaremos generar obras publicas tan necesarias ciudad objetivo descongestionar transito ciudad generar empleo atraer inversion QuitoVuelveaSonar VotoQuito2019 VotaTodo7 Elecciones2019EC fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,plan QuitoVuelveASonar pensado resolver gran problema trafico ciudad Escucha parte propuesta hecha fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,CoberturaPlusfm dial 104 1 conversamos junto PabloEspinozaVS propuestas plan QuitoVuelveASonar Transformaremos basura recurso Construiremos obras infraestructura vialidad reingenieria transito VotaTodo7 EleccionesEC2019,2019-02-22
Edgar,Jacome,EdgarJacomeT,plan QuitoVuelveASonar toma cuenta mascotas animalitos situacion riesgo Crearemos 4 centros albergue adopcion ademas ordenar duenos cuidar mascotas CoberturaPlusfm PabloEspinozaVS VotaTodo7 Elecciones2019EC,2019-02-22
Edgar,Jacome,EdgarJacomeT,barrio Placer conoci gusto futbol QuitoVuelveaSonar ninos creciendo sanos deporte Si tambien suenas recuperacion espacios familias 24 Marzo VotaTodo7,2019-02-23
Edgar,Jacome,EdgarJacomeT,miles ninos Quito tambien creci barrios jugue futbol canchas propuesta fomentar deporte mantenerlos sanos alejados drogas QuitoVuelveaSonar ninos sanos VotaTodo7 VotoQuito2019,2019-02-23
Edgar,Jacome,EdgarJacomeT,minutos escuchame AreaDeportivaFM Dial 99 3FM QuitoVuelveASonar voto informado ciudadanos VotaTodo7 VotoQuito2019 Elecciones2019EC,2019-02-24
Edgar,Jacome,EdgarJacomeT,AreaDeportivaFM dial 99 3FM recalco importancia EstatutoAutonomicoDMQ herramienta permite tener plenas competencias asumir tema seguridad crear Guardia Municipal cuidar quitenos VotaTodo7 VotoQuito2019 QuitoVuelveASonar,2019-02-24
Edgar,Jacome,EdgarJacomeT,plan QuitoVuelveASonar contempla semaforizacion inteligente reubicacion agentes transito hacia guardia metropolitana incluir transporte publico metro hacia valles autobuses electricos solventar problemas transito AreaDeportivaFM,2019-02-24
Edgar,Jacome,EdgarJacomeT,transporte publico buses taxis debe ser electrico permitira grandes ahorros combustible reduccion contaminacion inclusion apoyo gobierno central reduccion subsidios QuitoVuelveaSonar VotaTodo7 VotoQuito2019 AreaDeportivaFM,2019-02-24
Edgar,Jacome,EdgarJacomeT,plan QuitoVuelveASonar contempla aprovechamiento basura recurso crear dos plantas tratamiento desechos permitiran obtener energia ingresos Ademas educar capacitar toda sociedad manejo seleccion desechos AreaDeportivaFM,2019-02-24
Edgar,Jacome,EdgarJacomeT,turismo eje fundamental administracion plan QuitoVuelveASonar Quito necesita organice tema Proponemos creacion Feria Internacional Turismo Quito llamar inversionistas generar trabajo,2019-02-24
Edgar,Jacome,EdgarJacomeT,quiteno 3 generaciones crecido cultura quitena sangre plan QuitoVuelveASonar proyecto recuperacion identidad creacion cultura 24 Marzo valores VotaTodo7 AreaDeportivaFM,2019-02-24
Edgar,Jacome,EdgarJacomeT,mercado Central Tumbaco compartimos plan QuitoVuelveASonar junta parroquial Tumbaco comerciantes recuperen esperanza Mas productividad mejor transporte mas seguridad 24 Marzo VotaTodo7,2019-02-24
Edgar,Jacome,EdgarJacomeT,propuesta Tumbaco desarrollo obras publicas mas transporte mejores vias mayor productividad 24 Marzo VotaTodo7 digan QuitoVuelveaSonar TumbacoVuelveASonar,2019-02-24
Edgar,Jacome,EdgarJacomeT,Manana 25 Febrero 2019 daremos conocer plan QuitoVuelveASonar buses Distrito Sur 24 Marzo VotaTodo7,2019-02-25
Edgar,Jacome,EdgarJacomeT,respondemos grandes capitales politicos ello acercamiento comunidad genuino paradas casas barrios vamos trabajar ciudadanos digan QuitoVuelveASonar 14 Marzo VotaTodo7,2019-02-25
