nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"VIVO radio @ visionquito Diego Oquendo , compartiendo panel Karina Ponce . Tema : * Preguntas urgentes candidatos # CPCCS * https : //t.co/4ynOHsQsU5 # ConcertacionCivicaNacional # AlandMolestinaConsejero https : //t.co/DLafj31FBb",2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"# CPCCS , debemos votar candidatos esten alejados compromiso politico garantizar independencia transparencia combate corrupcion '' . Hoy Radio Canela ciudad Quito . # AlandMolestinaConsejero # BolsillosHonestos https : //t.co/IlBpF3XiAn",2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Continuamos agenda programada region interandina , cumpliendo responsabilidad ecuatorianos . ! Vamos salvaguardar participacion ciudadana 24 marzo honestidad transparencia ! # AlandMolestinaConsejero # CPCCS # BolsillosHonestos https : //t.co/ywzVMaesqK",2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Consejo Participacion Ciudadana Control Social Transitorio , cuanto combate corrupcion queda debiendo pais . correspondera entonces # CPCCS definitivo asumir reto . Hoy Informativo Prisma , televisora ciudad Ibarra . # Elecciones2019EC https : //t.co/T7hgQ5KRcB",2019-02-20
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Vientos fraude electoral soplan Ecuador eleccion Consejeros # CPCCS . Existe decision arbitraria CNE escrutar final votos dignidad ... 1/2 Radio Caracol-Ambato . # AlandMolestinaConsejero # BolsillosHonestos https : //t.co/t72GjANnCG,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,`` ... Ley debe hacerse primero trata eleccion Nacional . olvidemos tampoco poseemos infraestructura permita Control Electoral '' . 2/2 Hoy Radio Caracol Ambato . # CPCCS # AlandMolestinaConsejero # Elecciones2019EC https : //t.co/5Hsy5WXiSG,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Disfrutando musica alegria ambatenos , mantuvimos entrevista parque `` Montalvo '' hermosa ciudad , Ambato , UNIMAX TV . # AlandMolestinaConsejero # CPCCS # BolsillosHonestos https : //t.co/lA2xHLUyQg",2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Cumpliendo responsabilidad historica promover participacion ciudadana dar conocer * Plan Trabajo * , recorrido provincias Pichincha , Imbabura , Tungurahua , Bolivar , Loja , Cotopaxi , Oro Esmeraldas . Seguire recorriendo pais mas fuerza energia . # CPCCS https : //t.co/Kl6TEPdY83",2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Asi letreros todas instituciones publicas indicando norma sanciona ciudadanos falten respeto funcionario publico , debe haber senalen * cuales derechos , fin pueda ejercerlos libertad '' . Diario Regional Andes-Riobamba . https : //t.co/8qnExpZWCH",2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Condeno falta responsabilidad dicen anular voto # CPCCS , saben quieren ignorar CPCCS , sera organismo lidere lucha corrupcion firmeza honestidad ... 1/2 # AlandMolestinaConsejero # BolsillosHonestos https : //t.co/xBsdQEQKTK",2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"`` ... Consejeros Gobierno nefasto , puestos `` dedo '' . Pido ciudadanos confien propuestas den oportunidad seguir sirviendo pais '' . 2/2 Radio Sol 96.5FM Riobamba . # CPCCS # AlandMolestinaConsejero # BolsillosHonestos https : //t.co/3bHzv9nq2n",2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"| ECUATORIANOS | participacion candidato # CPCCS , obedece claro compromiso pais , * necesita bano honestidad * luego haber padecido largo periodo corrupcion liderado expresidente republica . # ConcertacionCivicaNacional https : //t.co/0vey6nyASM",2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"responsabilidad encontrar mejores dias pais , convoca trabajar tregua descanso . Agradezco valiosos aportes . # Elecciones2019EC # BolsillosHonestos # CPCCS https : //t.co/8nRWIXbUFL",2019-02-25
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"independencia toda linea partidista , da sustento moral rechazar falsos lideres politicos voces , peticion voto nulo @ CPCCS . Manabi , tierra hermosa , apoyo hombres mujeres bravios pundonor , sigo firme # CPCCS . https : //t.co/ektkQ1MsE0",2019-02-25
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Medios Comunicacion juegan papel importante orientar ciudadania Participacion Ciudadana , asi derecho elegir representantes proximo 24 marzo ... 1/2 Hoy medios comunicacion , provincia Manabi camino firme # CPCCS . https : //t.co/R6nTatSYc8",2019-02-26
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"`` ... embargo advierto pais , confabulacion grupos politicos poder , echar traste eleccion # CPCCS , manera irresponsable llaman anular voto . 2/2 Manabi voy camino firme @ CPCCS # BolsillosHonestos # AlandMolestinaConsejero https : //t.co/ndCJAKFUT1",2019-02-26
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Tome desafio participar # CPCCS , hora gente honesta asuma compromiso pais . conocen saben actuare transparencia independencia . Camino firme , Manabi , @ CPCCS . # BolsillosHonestos # AlandMolestinaConsejero https : //t.co/j8ihrGSi05",2019-02-27
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Ecuador sera pais honesto , ! oportunidades ! jovenes , ! voz ! Disfrutemos feriado carnaval , alegria , cuidado , esperanza mejores dias patria Camino firme # CPCCS # BolsillosHonestos # AlandMolestinaConsejero https : //t.co/8l27yx5WIF",2019-03-02
Aland Javier,Molestina Malta,ALANDMOLESTINAM,balzarenos ejemplo pueblo pujante 24 marzo votara Participacion Ciudadana . # BolsillosHonestos # CPCCS # AlandMolestinaConsejero https : //t.co/Y9XwBt3w4M,2019-03-03
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"mismos hoy plantean anule voto elimine # CPCCS , misma valentia pedir elimine Asamblea Nacional ... # Elecciones2019EC # AlandMolestinaConsejero https : //t.co/D2Eihf4rM1",2019-03-03
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"@ ManuRecharged @ marialocorrea @ carlosfigueroa6 @ davidroserow Gracias confianza . hace referencia TARZ28 enunciado Ecuador Eterno falso casi totalidad . ano dice cargo frontera norte , Guayaquil , ( favor chequee google ) . Llegare CPCCS combatir corruptos",2019-03-06
