nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Mónika Mariuxi,Moreira Moran,monka78,sociedad justa equitativa aspiracion ecuatorianos . Trabajemos juntos lograrlo . # DiaMundialdelaJusticiaSocial # JusticiaSocial # EquidadYJusticia @ ONU_es @ onumujeresEcu @ ONUecuador https : //t.co/JN4QxrlGg2,2019-02-20
Mónika Mariuxi,Moreira Moran,monka78,homenaje dedican vida defender promover cumplimiento derechos ciudadanos comprometer negociar principios # DiaDelAbogado # DiaDelAbogadoEcuatoriano https : //t.co/OVFA53uSNx,2019-02-20
Mónika Mariuxi,Moreira Moran,monka78,Feliz dia .... Gracias heroes bata estetoscopio cuidar preservar salud ! @ EdwinVeraGarijo @ MSPEcuador @ IESSHTMC @ RedProSalud_Cz8 @ Redprosalud # DiaDelMedicoEcuatoriano # DiaDeMedicoEc # DiaDelMEDICO # HeroesConBatas # dia https : //t.co/sIRhBo4hUV,2019-02-21
Mónika Mariuxi,Moreira Moran,monka78,Anular voto limitar capacidad ciudadana derecho asumir ejercicio responsable democracia . debe intentar minimizar legitimidad unico organismo representa voz # EleccionesCPCCS # LaVozDeLosTrabajadoresEc # Elecciones2019EC @ ParticipacionPC https : //t.co/ljgEccTIJ3,2019-02-21
Mónika Mariuxi,Moreira Moran,monka78,"Recordemos mantener calma , implementar plan evaluacion informarnos canales oficiales @ IGecuador caso evacuacion , brindemos ayuda necesitan asistencia : ninos , adultos mayores , mujeres embarazadas personas discapacidad . # sismo https : //t.co/Bx8okH8q1I",2019-02-22
Mónika Mariuxi,Moreira Moran,monka78,"Recordemos mantener calma , implementar plan evacuacion informarnos canales oficiales @ IGecuador caso evacuacion , brindemos ayuda necesitan asistencia : ninos , adultos mayores , mujeres embarazadas personas discapacidad . # sismo https : //t.co/UdsTcr4zBJ",2019-02-22
Mónika Mariuxi,Moreira Moran,monka78,"# ActividadesCUT | Hoy presentes asamblea # RedDeMaestros , demostrando vez mas unidad gremio sindical clave exito lucha trabajadores pais . @ GomezlRichard @ RedMaestrxsZon8 @ monka78 https : //t.co/Y05jQg2qYY",2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,Hoy participe Asamblea Nacional @ EcuadorRed unidad fortaleza magisterio . maestro mientras lucha derechos tambien ensena ! # LaVozDeLosTrabajadoresEc https : //t.co/VdA9iM0NG6,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,"magisterio unido , motivado firme objetivos reunio hoy Guayaquil Asamblea Nacional definir acciones reinvindicacion mejoramiento maestros Ecuador . @ EcuadorRed @ GomezlRichard @ monka78 @ EcuadorCut @ AgustinLindao @ RedMaestrxsZon8 https : //t.co/cfBb4Tg48f",2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,@ monka78 @ EcuadorRed @ RTrabajadoras @ FedelecEcuador @ EcuadorCut @ comite_coazucar @ ComiteCNELEP @ ComiteStd @ Sind_GLR_Daule @ sitraung @ cut_guayas @ RedMaestrxsZon8 Vamos companera Monica fuerza .,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,@ monka78 @ EcuadorRed @ RTrabajadoras @ FedelecEcuador @ EcuadorCut @ comite_coazucar @ ComiteCNELEP @ ComiteStd @ Sind_GLR_Daule @ sitraung @ cut_guayas @ RedMaestrxsZon8 Adelante red maestros,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,@ monka78 @ EcuadorRed @ RTrabajadoras @ FedelecEcuador @ EcuadorCut @ comite_coazucar @ ComiteCNELEP @ ComiteStd @ Sind_GLR_Daule @ sitraung @ cut_guayas @ RedMaestrxsZon8 Red Maestros adelante ..,2019-02-23
