nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,# PostDrCarlosMosquera PECULADO . # CarlosMosquera # CPCCS VOTO # UnMedicoHonrado ! RT https : //t.co/GrCNqJqHjK,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,# PostDrCarlosMosquera VACACIONES . # CarlosMosquera # CPCCS VOTO # UnMedicoHonrado ! RT https : //t.co/jl5r9VAa8L,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,@ cero_mata https : //t.co/tyaOz3iDz5,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"24 Marzo , Compromiso patria ! Basta politicos ! Necesitamos persona Valiosa Honorable representarnos CPCCS ! CARLOS MOSQUERA Cirugia Mayor Corruptos Vota Puesto # 5 Paleta Hombres . VOTO # UnMedicoHonrado RT https : //t.co/FO4ralmP1w",2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"? Quieres conocer mas Candidato Consejo Participacion Ciudadana Control Social Dr. @ MosqueraCarlosB ? Tendras Noticias primera mano haciendo frente # corrupcion ecuador , mantente informado pluma servidor ! ! COMPARTE ! RT . https : //t.co/O93aV0cRjz",2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"> Jubilados . > Pueblo . > mas desposeidos . > Jovenes . haremos 24 marzo diferencia ! defender Voto , civismo patriotismo . ! Carlos Mosquera ! politicos SI Medico Servidor Patria ! https : //t.co/2yMl7Dutzw",2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,Conoce cerca actividades Candidato @ CPCCS @ MosqueraCarlosB . Siguelo # Instagram enterate potencial servidor ninguna duda llevara Pais riendas justicia ! Siguelo link : https : //t.co/w1N1oyvLGD Raya puesto # 5 https : //t.co/R6jDNxiUk3,2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,ALERTA estan promoviendo Voto NULO . Acaso dan cuenta alargar tema Elecciones ? mas gasto bolsillos Campana nivel nacional ? . pais gastar mas plata campanas . COMPARTE ! RT . https : //t.co/f3ZNaYpj2N,2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,# PostDrCarlosMosquera ELIMINATORIAS . # CarlosMosquera # CPCCS VOTO # UnMedicoHonrado ! https : //t.co/ysXpErq9om,2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,# PostDrCarlosMosquera ULTIMO CHANCE . # CarlosMosquera # CPCCS VOTO # UnMedicoHonrado ! https : //t.co/hepCTeRupb,2019-02-21
