nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Pablo Eduardo,Ponce Cerda,PabloPonce,@ Modelo977 principal propuesta realizar Asambleas Itinerantes todas provincias pais . # YoSoyTuVoz # YosoyPabloPonce https : //t.co/WVlVDjST61,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,# modelonoticias Entrevista Dr. Pablo Ponce candidato cpccs # yosoytuvoz # pabloponce @ PabloPonce https : //t.co/1orizjcD74,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,# TelevisionManabita Casillero 12 sorteo . primera vez elegira 7 representantes # CPCCS . https : //t.co/LA7Czgz4rp,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,Gestion Publica debe ser responsable . # RadioGaviota # YoSoyTuVoz # PabloPonce https : //t.co/7ybZOucG5U,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,"Quiero saludar dia colegas , Abogados pais , noble profesion esfuerzo , preparacion lucha constante hacer prevalecer derechos clientes # DiaDelAbogadoEcuatoriano # YoSoyTuVoz # PabloPonce https : //t.co/SUvmAab4dR",2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,Radio Costamar abre espacio hablar proximas elecciones ; Ecuador elegira 7 representantes Consejo Participacion Ciudadana Control Social . # casillero12 # YoSoyTuVoz # PabloPonce https : //t.co/93AlyoEPEG,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,"Seguimos recorriendo pais , hoy Portoviejo iniciamos Manavision hablar Consejo Participacion Ciudadana Control Social elecciones proximo 24 marzo , elegiran primera vez consejeros voto popular . https : //t.co/PiWGiKdCEz",2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,"Radio Capital 103.3 RNC , borron cuenta nueva , pais necesita respeten normas . problema instituciones personas hacemos buenas . base educacion , incentivar verdadera participacion ciudadana activa . https : //t.co/ljQWa0hF4T",2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,"Radio Capital 103.3 , borron cuenta nueva , pais necesita respeten normas . problema instituciones personas hacemos buenas . base educacion , incentivar verdadera participacion ciudadana activa. # YoSoyTuVoz https : //t.co/EJ8qxymXXY",2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,invito escuchar propuestas candidato @ CPCCS siguientes medios comunicacion : @ ecuavisa @ radiopublicaEC # gkcity @ radiosonorama @ CanalUnoTv @ RadioUnica720 # Yosoytuvoz https : //t.co/XSQ27vGr4o,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,invito ver entrevista # ContactoDirecto @ ecuavisa . Hablare propuestas candidato @ CPCCS . # YoSoyTuVoz https : //t.co/TtpRoLIktn,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,# YoSoyTuVoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,@ ecuavisa listo dar conocer propuesta candidato @ CPCCS # YoSoyTuVoz # FelizLunes https : //t.co/b6tfqVS7YC,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,participacion ciudadana ingrediente principal fomentar democracia via @ ecuavisa # YoSoyTuVoz https : //t.co/h7BmVkUlsQ,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,"# EcuadorALasUrnas | @ PabloPonce : minga , debemos apoyar hombro fomentar participacion ciudadania . https : //t.co/2MSRf1tDQe",2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,". @ CPCCS debe tener apoyo gremios tecnicos , fin incentivar verdadera participacion ciudadana . # YoSoyTuVoz @ ecuavisa https : //t.co/co6g5mzImv",2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,voluntad politica abrir espacios dialogo jovenes principales actores via @ ecuavisa # YoSoyTuVoz https : //t.co/UKjSTGkL1c,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,ven tan lejano . @ CPCCS Quito propongo haga manera itinerante 24 provincias . # YoSoyTuVoz @ ecuavisa https : //t.co/RCujMmqLds,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,"concejal # Quito vi participacion ciudadana genera cambios . Asi sucedio ventas centro historico , hablo ciudadanos ubico Centros Comerciales Ahorro via @ PublicaFM https : //t.co/8fPNtH0UZf",2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,responsables fomentar participacion ciudadana via @ PublicaFM # YoSoyTuVoz https : //t.co/iL9ZiDjW4T,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,Seguimos trabajando incentivar verdadera activa participacion ciudadana . invito escuchar propuestas candidato # CPCCS # YoSoyTuVoz # Pichincha # Quito https : //t.co/bFk4ntbYEv,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,Dialogamos @ babadmerchan propuestas candidato @ CPCCS # YoSoyTuVoz https : //t.co/Kch69a0jl1,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,Inicia entrevista @ PabloPonce senal @ pichinchauniver,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,. @ PabloPonce destaca impulso primera Ordenanza Participacion Ciudadana periodo # ConcejalDeQuito,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,Participacion Ciudadana virtuosa empodera ciudadania explica @ PabloPonce via @ pichinchauniver # YoSoyTuVoz,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,"gestion publica debe ser auditada colegios especializados , criterio tecnico dice @ PabloPonce via @ pichinchauniver # YoSoyTuVoz https : //t.co/5IEgjep5P8",2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,importante rescatar principios valores familia dice @ PabloPonce via @ pichinchauniver # YoSoyTuVoz https : //t.co/1qD5LqaYbv,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,"hacer minga ecuatorianos involucremos quehacer publico , impulsemos gestion transparente subraya @ pabloponce via @ pichinchauniver # YoSoyTuVoz https : //t.co/f3m6oKqWIJ",2019-02-26
