nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Teddy Gustavo,Tama Aguirre,TamaApoyo,@ PaolaCabezasC @ CarlaMaldonadoP Conmigo quiere construir historia sucia solo respetable vida proba academica ? estan cuestionamientos Espinosa Ministro q permitio tantas violaciones CIENTOS NINOS ? @ JusticeVeraEC @ AlecCardenas @ PedritoExtranja @ ramirogarciaf @ larepublica_ec https : //t.co/geA7S2AZpN,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,@ PaolaCabezasC @ CarlaMaldonadoP ! fotos usted debe subir JAMAS olvidar ! @ JCTrujilloCPCCS @ Ma_AleCevallos @ simonespinosa28 @ DrRobertoLopez2 @ omarmaluk @ AnaMinga @ pichondedino verdaderos perseguidos ROBOLUCION olvidamos . https : //t.co/BBaLGBANL7,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,"@ PaolaCabezasC @ CarlaMaldonadoP ? foto despreciable , repudiable verguenza ? usted gran AMIGO Espinosa bailando @ MashiRafael mientras violaban cientos ninos usted hizo silencio usted complice # ProhibidoOlvidarCompanerita @ PedritoExtranja @ 4pelagatos4 https : //t.co/22ipGWAEtc",2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,"@ PaolaCabezasC @ CarlaMaldonadoP evento academico hace anos junto @ lenhurtado usted asume # MPD falso mentira quiere deslegitimar participacion candidato , sola mancha vida . @ natasha_rojas @ davidroserow SER CORREISTA = verguenza olvide",2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,Hoy estare conversatorio organizado Asamblea Ciudadana Ecuador @ AsambleaEcu @ RadioMorena640 junto @ ALANDMOLESTINAM @ JovitaFonFay companeros candidatos # CPCCS # CNE # TEDDY # TAMA # Elecciones2019EC https : //t.co/ynA9Uyrr2Y,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,Hoy estare conversatorio organizado Asamblea Ciudadana Ecuador @ AsambleaEcu @ RadioMorena640 junto @ ALANDMOLESTINAM @ JovitaFonFay companeros candidatos # CPCCS # CNE # TEDDY # TAMA # Elecciones2019EC @ 4pelagatos4 https : //t.co/ozjGx9upbh,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,"@ angsrm7 @ ALBERTOACOSTAB justicia siempre sido ideal , permitire siga destruyendo pais , menos silenciando voz ciudadania , quiero ciudadania escuchada , pueda juzgar controlar cada gobernantes hacen . https : //t.co/CgVTlqMcLQ",2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,Mas Gracias Asamblea Ciudadana Ecuador @ AsambleaEcu # ACE magnifico evento contar espacios poder exponer propuestas @ RadioMorena640 sigue transmision vivo https : //t.co/NQGoksyuSF ... @ carlosrojasecu @ DrRobertoLopez2 @ andreselopeze https : //t.co/UlRVDtPv8H,2019-02-20
Teddy Gustavo,Tama Aguirre,TamaApoyo,Conversatorio ciudadania Radio `` Morena '' junto companeros candidatos CPCCS . https : //t.co/SnhWcETHaG,2019-02-20
Teddy Gustavo,Tama Aguirre,TamaApoyo,"Charla escuela formacion politica `` Manuel Carrion Pinzano '' , seguimos compartiendo ensenando importancia rol ciudadania # CPCCS # elecciones2019 @ faustoyepez @ ALANDMOLESTINAM @ RodolfoBB54 @ danilotayopanta @ elchuro @ DrRobertoLopez2 https : //t.co/shJl54DIIb",2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,Jueves 21 viernes 22 febrero invito conocer propuestas candidato Consejo Participacion Ciudadana Control Social CPCCS Agenda Actividades LOJA # Ecuador # CPCCS # TeddyTama # democracia # elecciones2019 # Loja @ Hora25Ec @ ifpoveda @ IvaOveja https : //t.co/m3aaA1ubDR,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,"Hoy # Loja , compartiendo mas radio Luz Vida propuestas @ CPCCS Consejo Participacion Ciudadana Control Social @ JovitaFonFay @ JCTrujilloCPCCS @ HonoSantistevan @ higuerahernan @ pichondedino https : //t.co/RmldSolqC2",2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,Sintonicen Radio Satelital conocer mas propuestas # CPCCS https : //t.co/THaHqPszB2,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,"Loja , honor haber podido compartir distintos medios pude dar conocer propuestas # CPCCS vez cuan importante dentro organismos @ cadenaecotel @ tomebamba https : //t.co/Pj6hKBq9xJ",2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,# LOJA Agradecido Diario Hora @ lojalahora entrevista dia hoy candidato Consejo Participacion Ciudadana Control Social # CPCCS # Ecuador # TeddyTama # democracia # elecciones2019 @ LaPosta_Ecu @ 4pelagatos4 https : //t.co/dx4P1clBPw,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,Agradecido entrevista dia hoy . Seguimos dando conocer propuestas candidato Consejo Participacion Ciudadana Control Social # Ecuador # CPCCS # TeddyTama # democracia # elecciones2019 # loja https : //t.co/Kbno9lQmmC,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,agrado visitar @ MatovelleRadio 100.1fm comparti propuestas candidato Consejo Participacion Ciudadana Control Social resalte importancia rol ciudadania # CPCCS @ omarmaluk @ NotiCarrousel @ FLACSOSG @ Cascabelito09 @ teleamazonasec https : //t.co/uwnQrA2UpD,2019-02-22
Teddy Gustavo,Tama Aguirre,TamaApoyo,"@ MatovelleRadio deseo ciudadania informe solo propuestas , sino gran importancia @ CPCCS campana sucia # VotoNulo podemos hacerle juego , advierten constitucionalistas prestigio @ DrRobertoLopez2 https : //t.co/bJck4yuXxy",2019-02-22
Teddy Gustavo,Tama Aguirre,TamaApoyo,FELICITACIONES PROGRAMA @ politikcorrecta @ carlosrojasecu VOTO NULO impulsado `` opinion '' @ Josernandez1 VA. candidatos ahora @ TamaApoyo @ HernanUlloa @ FranklinMorenoQ mas ?,2019-02-24
Teddy Gustavo,Tama Aguirre,TamaApoyo,@ LassoGuillermo asesora ? X menos mire programa suficiente . FELICITACIONES PROGRAMA @ politikcorrecta @ carlosrojasecu VOTO NULO impulsado `` opinion '' @ Josernandez1 VA. candidatos ahora @ TamaApoyo @ HernanUlloa @ FranklinMorenoQ mas ? @ omarmaluk,2019-02-25
Teddy Gustavo,Tama Aguirre,TamaApoyo,AGENDA ACTIVIDADES CUENCA Participacion encuentro `` Construir democracia participativa territorios '' Lugar : Universidad Cuenca @ udecuenca 14h00 Entrevista radio on-line CONGOPE @ CongopeEcuador @ omarmaluk @ ManuelGonzagaG @ ceduaraujo @ diegooquendo https : //t.co/iplb3dOaJn,2019-02-25
Teddy Gustavo,Tama Aguirre,TamaApoyo,@ EnCortoTA Candidato Consejo Participacion Ciudadana @ TamaApoyo Comisionado Gordon criollo Gotika Gye . https : //t.co/KDHQ39L536,2019-02-25
