nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"@ HernanUlloa abogado gano respeto admiracion defender casos ninas urbanizacion , dije familia amigos voten Ud seguro aca # Pedernales tendra varios votos",2019-02-19
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"@ dama_rosas @ _SuExcelencia Vota @ HernanUlloa excelente profesional , calles Correismo , nulo conveniente respeto decision ayudemos vez voto candidato , conozco leal sera comunique anomalias",2019-02-19
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"momentos , abogado @ HernanUlloa participa conversatorio candidatos Consejo Participacion Ciudadana Control Social @ CPCCS organizado Asamblea Ciudadana Ecuador ( ACE ) auditorio @ RadioMorena640 centro Guayaquil https : //t.co/fe0bK0PIhi",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,@ HernanUlloa @ ONU_derechos @ cnegobec Estimado @ HernanUlloa Agradecemos aceptacion Candidatura Consejero @ CPCCS . Anexo confirmacion constancia detalle Propuesta 4 COMPROMISOS Pacto Etico . Miguel Ernesto Santacruz Paredes Representante Legal @ CorporacionGES https : //t.co/XiVDhxQTSs,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Informe actividades abogado @ HernanUlloa candidato Consejo Participacion Ciudadana Control Social @ CPCCS # Elecciones7ConsejerosCPCCS24marzo2019 # EleccionesCPCCS # Elecciones2019EC https : //t.co/VtJ6HcOWk1,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,@ HernanUlloa candidato @ CPCCS propone : 1.- Promover Participacion Ciudadana hagan valer derechos 2.- Luchar # corrupcion actuar parte procesal # Conversatorio realizado Asamblea Ciudadana Ecuador auditorio @ RadioMorena640 https : //t.co/VwLLj69x1B,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,@ HernanUlloa candidato @ CPCCS propone : 1 . Promover Participacion Ciudadana hagan valer derechos 2 . Luchar # corrupcion actuar parte procesal # Conversatorio realizado Asamblea Ciudadana Ecuador # EleccionesCPCCS # Elecciones2019EC https : //t.co/zxg6YkckVO,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"# Conversatorio | lleva cabo , momentos , evento organizado Asamblea Ciudadana Ecuador sido cordialmente invitado @ HernanUlloa candidatos candidatas @ CPCCS . # EleccionesCPCCS https : //t.co/WZdHGbH5GM",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Tuco entrevista @ radioi99 Mil gracias ciudadania permitidme ingresar hogares propuestas @ CPCSS https : //t.co/RWwy0sOF0b,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"Estimados colegas , feliz dia https : //t.co/FWCVL2ALDr",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"Estimados colegas , feliz dia https : //t.co/FWCVL2ALDr",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,agradezco Fernando respaldo publico candidatura,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"voto Consejo Participacion Ciudadana Control Social tambien sera Hernan Ulloa . ciudadanos necesitamos gente asi , probada , luchadora , accion , hecho cosas importantes ciudadanos , puro bla , bla , bla . @ HernanUlloa https : //t.co/8ffQgY9fTE",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"# DiaDelAbogado | Colegas , reciban cordial afectuoso saludo dia , sigamos dignificando noble profesion amando hacemos luchando derecho justicia . @ HernanUlloa https : //t.co/CUoE9wt0xl",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"Consulta : Abogado @ HernanUlloa , vivimos # Manta # Manabi podemos votar usted ? Compartir informacion https : //t.co/AraEStkabL",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"Felicidades dia , equipo excelentes abogados luchan dia dia hacer justicia pais , especial haga justicia # LasNinasDeCastilla @ UlloaAsoCom @ Adantoro5 @ HernanUlloa @ reyesteveng @ AbusoCastilla https : //t.co/Yle2bpkWzJ",2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Constancia Aceptacion registro @ HernanUlloa Candidato Consejero @ CPCCS https : //t.co/l3G2HhOoYm,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"silencio mantiene @ cnegobec frente tendencia # VotoNulo @ CPCCS digo : respeto consideracion promueven tendencia , dejo humilde opinion candidatos Ayudame voto reflexivo RT # YoVotoCPCCS https : //t.co/odDbMcWobJ",2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,agradezco Fernando respaldo publico candidatura https : //t.co/BjcwfsGiix,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"silencio mantiene @ cnegobec frente tendencia # VotoNulo @ CPCCS digo : respeto consideracion promueven tendencia , dejo humilde opinion candidatos Ayudame voto reflexivo RT # YoVotoCPCCS https : //t.co/odDbMcWobJ",2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,TOTALMENTE ACUERDO CIUDADANOS DEBEN ANALIZAR CANDIDATOS @ CPCCS . CIUDADANO CONFIO TRAYECTORIA @ HernanUlloa SIDO HECHOS MARCADO PRECEDENTE REAL JUSTICIA . https : //t.co/JdkFoiS0Lm,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"Ecuador debe votar responsabilidad X nuevos miembros interpuesto NEFASTO CPCCS `` Q'elegiremos Urnas '' mal llamado '' Quinto Poder '' creado X caterva d fascinerosos invertidos , q'volver integrarse . Queremos gente seria ? @ HernanUlloa reune condiciones https : //t.co/1vGJ6iLc74",2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"@ HernanUlloa @ cnegobec @ CPCCS importante mantenga CPCCS , amarres Asamblea existencia partidos politicos permitirian controles eficientes corrupcion . importante exista CPCCS integrantes confiables Dr Hernan Ulloa .",2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"silencio mantiene @ cnegobec frente tendencia # VotoNulo @ CPCCS digo : respeto consideracion promueven tendencia , dejo humilde opinion candidatos Ayudame voto reflexivo RT # YoVotoCPCCS https : //t.co/odDbMcWobJ",2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"silencio mantiene @ cnegobec frente tendencia # VotoNulo @ CPCCS digo : respeto consideracion promueven tendencia , dejo humilde opinion candidatos Ayudame voto reflexivo RT # YoVotoCPCCS https : //t.co/odDbMcWobJ",2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,@ HernanUlloa @ cnegobec @ CPCCS voto familia usted estimado @ HernanUlloa,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,@ HernanUlloa @ cnegobec @ CPCCS promueven voto nulo dan cuenta estan alentando combatimos correato quedemos contienda electoral correismo ponga candidatos ! ! !,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"silencio mantiene @ cnegobec frente tendencia # VotoNulo @ CPCCS digo : respeto consideracion promueven tendencia , dejo humilde opinion candidatos Ayudame voto reflexivo RT # YoVotoCPCCS https : //t.co/odDbMcWobJ",2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"silencio mantiene @ cnegobec frente tendencia # VotoNulo @ CPCCS digo : respeto consideracion promueven tendencia , dejo humilde opinion candidatos Ayudame voto reflexivo RT # YoVotoCPCCS https : //t.co/odDbMcWobJ",2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"# EleccionesCPCCS | pocos minutos , @ HernanUlloa junto candidatos Consejeros Consejeras @ CPCCS , participara Foro-Conversatorio Participacion Ciudadana organizado @ UdeGuayaquil . https : //t.co/GAaEqMdPVC",2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"silencio mantiene @ cnegobec frente tendencia # VotoNulo @ CPCCS digo : respeto consideracion promueven tendencia , dejo humilde opinion candidatos Ayudame voto reflexivo RT # YoVotoCPCCS https : //t.co/odDbMcWobJ",2019-02-22
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"@ HernanUlloa excelentes palabras , pueblo enterado gracias usted https : //t.co/zdPg6mJW5v",2019-02-22
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"silencio mantiene @ cnegobec frente tendencia # VotoNulo @ CPCCS digo : respeto consideracion promueven tendencia , dejo humilde opinion candidatos Ayudame voto reflexivo RT # YoVotoCPCCS https : //t.co/odDbMcWobJ",2019-02-22
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"Expreso solidaridad @ FLOR_MPALOMEQUE ataques sistematicos personaje @ MOFLETV ironico agresores mismos exigen tolerancia ideologias confusas , decir , sienten tanta fobia hacia compartimos `` modernidades '' https : //t.co/h0eJD9b3jV",2019-02-22
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"Expreso solidaridad @ FLOR_MPALOMEQUE ataques sistematicos personaje @ MOFLETV ironico agresores mismos exigen tolerancia ideologias confusas , decir , sienten tanta fobia hacia compartimos `` modernidades '' https : //t.co/h0eJD9b3jV",2019-02-22
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Bien @ HernanUlloa . Hombre bien entregado causas justas . diferente MENTIROSO DEFENSOR VIOLADOR . https : //t.co/DYgXzIq8Cz,2019-02-24
