nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Paola,Vintimilla,PaolaVintimilla,"Manana # CastigoDivino Quito @ PaolaVintimilla , candidata 6 alcaldia . espero 20:00 Fridays Quicentro . https : //t.co/R3mn3dg5DZ",2019-02-17
Paola,Vintimilla,PaolaVintimilla,Paola Vintimilla camino Alcaldia Quito Conoce mas- https : //t.co/D1THQe6jf6 # RevistaClave # Clave86 # BienesRaices # DesarrolloUrbano @ CaridadVela @ PaolaVintimilla https : //t.co/8SKjXaSuCt,2019-02-18
Paola,Vintimilla,PaolaVintimilla,"barrio Pablo Arturo Suarez , norte Quito compartimos gran manana vecinos sector . Realizamos minga comunitaria calles encuentran mal . Vamos seguir llegando quieren llegar . # ElCambioVieneSioSi https : //t.co/I1ZUCnIqVY",2019-02-19
Paola,Vintimilla,PaolaVintimilla,"Hoy , junto @ PaolaVintimilla compartimos grupo lideresas sociales barriales centro sur Quito ... todas coincidimos hora Alcaldia hermosa ciudad encabezada mujeres . # CompromisoDeCambio # EscucharParaServir https : //t.co/vovtY7CjZv",2019-02-20
Paola,Vintimilla,PaolaVintimilla,"gusto conversar lideresas trabajadoras confirman necesidad cambio , saben momento cambiar forma gobernar mujer Alcaldia . # ElCambioVieneSioSi https : //t.co/4QzU3NvK6t",2019-02-20
Paola,Vintimilla,PaolaVintimilla,"pocos minutos estare radio comunitaria @ xyzradioec https : //t.co/4vIPbUZnST 14h15 @ radiosonorama Jose Luis Castillo , conversando plan trabajo Quito . https : //t.co/N2ksAttGUE",2019-02-20
Paola,Vintimilla,PaolaVintimilla,"Si unimos comunidad , Municipio Ministerio Interior vamos combatir delincuentes . Debemos volver casas barriales , mantener buen bien iluminados lugares publicos trabajar conjunto Policia Nacional . @ xyzradioec https : //t.co/HqXc6A2pSs",2019-02-20
Paola,Vintimilla,PaolaVintimilla,"primero haremos lleguemos Alcaldia auditoria procesos , salgan todas personas necesarias entorpecido accionar Municipio . @ xyzradioec https : //t.co/jB2NbYay93",2019-02-20
Paola,Vintimilla,PaolaVintimilla,comparto agenda medios jueves . temprano estare @ panchitostereo dialogo dar conocer propuesta transformar Quito 08h30 invito conocer mas chicos @ voyyvuelvo2018 @ RadioLatinaEc https : //t.co/SljToIjWCY,2019-02-21
Paola,Vintimilla,PaolaVintimilla,"Recorrimos # CentroHistorico junto @ mariabelenquito , candidata Distrito Centro-Sur . Debemos mantener espacio publico seguro haga buen uso mismo ; ademas , potenciar turismo , motor indispensable desarrollo Quito . # ElCambioVieneSioSi https : //t.co/6xYqhLcRIu",2019-02-21
Paola,Vintimilla,PaolaVintimilla,@ voyyvuelvo2018 junto querida amiga @ PaolaVintimilla manana @ RadioLatinaEc @ KBurraska @ LuisFVaras @ SamyRivadeneira https : //t.co/lPewWIIioy,2019-02-21
Paola,Vintimilla,PaolaVintimilla,Gracias ! interesante .,2019-02-22
Paola,Vintimilla,PaolaVintimilla,@ FannyZamudio1 @ PCEVALLOS @ juancaholguin @ ZULNELEA @ SofiaMerinoRiv @ Polificcion @ PacoMoncayo @ luisevivanco @ CesarMontufar51 @ LoroHomero @ fabovillamar @ 4pelagatos4 @ lahistoriaec @ 24horasUIO @ comunidadquito1 Jajajajajaja,2019-02-22
Paola,Vintimilla,PaolaVintimilla,"pocos dias decide futuro Quito requiere mas buenas intenciones . Mas 20 anos alcaldias perversas destruido ciudad . trata solo cambiar gobierno , si forma gobernar conmigo cambio viene Si Si https : //t.co/yADbngKihI",2019-02-22
Paola,Vintimilla,PaolaVintimilla,"pocos dias decide futuro Quito requiere mas buenas intenciones . Mas 20 anos alcaldias perversas destruido ciudad . trata solo cambiar gobierno , si forma gobernar conmigo cambio viene Si Si . https : //t.co/0pfT3Oixah",2019-02-22
Paola,Vintimilla,PaolaVintimilla,"barrio Kennedy , norte Quito , quitenos demostraron preocupacion sucia ciudad . cambiar modelo gestion EMASEO , haremos licitacion transparente , empresa privada encargue administracion . https : //t.co/SZoEziTWJL",2019-02-22
