nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jorge,Yunda,LoroHomero,"Disfrutamos linda noche Barrio # ElConde4 , gracias recibimiento tan emotivo permitirnos compartir plan trabajo @ LoroHomero futuro Alcalde # Quito # VotaTodo19 # QuitoGrandeOtraVez https : //t.co/Se3DBLaaQu",2019-02-17
Jorge,Yunda,LoroHomero,Gran recibimiento ALANGASI TINGO futuros concejales rurales Listas 19 . Jorge Yunda ALCALDE QUITO . @ LoroHomero @ PanasJorgeYunda @ jorenpanyun3 @ renebedon @ santiguarderas @ joseph_maurici @ TVCLaComunidad @ BolivarArmijos @ MauricioRodasEC @ luisfer593 @ stalindo1977 https : //t.co/6hOMm70kcH,2019-02-18
Jorge,Yunda,LoroHomero,@ Animal_Viral @ LoroHomero mimado novia https : //t.co/P2aiuxb87Z,2019-02-18
Jorge,Yunda,LoroHomero,HENRY DESCANSA . 2019 19 . ALANGASI . Dr. JORGE YUNDA ALCALDE QUITO @ LoroHomero @ santiguarderas @ PanasJorgeYunda @ jorenpanyun3 @ joseph_maurici @ RpcJorge @ luisfer593 https : //t.co/sPgBrdyXff,2019-02-18
Jorge,Yunda,LoroHomero,"# FelizMartes Miles personas cantando cancion letra @ LoroHomero artista alcalde apoyando jovenes tardes hagan deportes , danza , musica , teatro ! # QuitoGrandeOtraVez @ LilianaYunda @ santiguarderas @ PatricioUbidiaB https : //t.co/SZHrXWMyyT",2019-02-19
Jorge,Yunda,LoroHomero,"Terminamos recorrido mercado `` cuadras '' , Sur querido # Quito . Junto @ LoroHomero haremos regresen obras , empleo seguridad . ! Gracias apoyo ! https : //t.co/2P608wNMVT",2019-02-19
Jorge,Yunda,LoroHomero,"Martes 9 Agosto 1938 , ALANGASI sufrio terremoto asolo pueblo . iglesia perdio cupula quedo cuarteada . pocos dias empezo reconstruccion vio unidad Alangasenos @ LoroHomero @ 24horasUIO @ TVCLaComunidad @ MauricioRodasEC @ PatrimonioYC_Ec https : //t.co/COaXUJXlyc",2019-02-20
Jorge,Yunda,LoroHomero,# SporTv EC junto @ juanmaguirre1 presidente @ SDQUITO candidato concejal capital # Lista19 @ LoroHomero https : //t.co/85Sn5nlrUV,2019-02-20
Jorge,Yunda,LoroHomero,Quito @ LoroHomero Moncayo lideran encuestas Alcalde . personal veo @ LoroHomero plan trabajo bien organizado real . viene Marzo .,2019-02-20
Jorge,Yunda,LoroHomero,Hoy compartimos gran dia @ LoroHomero Liga Barrial San Andres King # QuitoGrandeOtraVez @ PanasJorgeYunda # AntonioJoseDeSucre # Concejal2019 https : //t.co/4ar4QKoztN,2019-02-20
